date,ad_product_category,region,ad_placement,industry,impressions,cpm,customer_id,account_id,revenue
2018-08-19,A,One,Alpha,A,346210,7.554104358,67361976376639496192,2640.0,2615.30646978318
2018-08-19,A,Two,Beta,A,39409,0.780619698,62330521666629500928,143.0,30.763441678482
2018-08-19,A,Two,Alpha,A,257531,9.542369823,1633658946634319872,2218.0,2457.456042887013
2018-08-19,A,Two,Beta,B,1757,1.8586206897,20851691626551500800,738.0,3.2655965518028998
2018-08-19,A,Two,Beta,A,468,2.6371490279999996,74007808106576396288,1066.0,1.2341857451039997
2018-08-19,A,Two,Beta,A,346,1.0583090379,59554744386631401472,143.0,0.3661749271134
2018-08-19,A,Two,Beta,A,20723,4.73013939,57207572576581697536,947.0,98.02267857896999
2018-08-19,A,Two,Beta,C,2554,4.05812574,65065687136565698560,736.0,10.36445313996
2018-08-19,A,Two,Alpha,A,347969,7.917374838,82072197186618802176,2216.0,2755.001005004022
2018-08-19,A,Three,Beta,A,4985,4.606361427,2108887106633270016,2262.0,22.962711713595002
2018-08-19,A,Two,Alpha,C,3135,2.0093427834,65065687136565698560,736.0,6.299289625959001
2018-08-19,A,Two,Beta,A,697,2.2956521738999998,86869534786620194816,2214.0,1.6000695652082997
2018-08-19,A,Two,Beta,A,19,13.894736841,20136017986630598656,2216.0,0.263999999979
2018-08-19,A,Two,Alpha,B,187704,3.134579169,62064189546546003968,709.0,588.3730483379761
2018-08-19,A,Two,Alpha,A,150952,4.698344667000001,62330521666629500928,143.0,709.224524172984
2018-08-19,A,Two,Beta,A,146,9.558620691,9887303736631410688,143.0,1.395558620886
2018-08-19,A,Two,Alpha,A,101853,8.127532353,20136017986630598656,2216.0,827.813552750109
2018-08-19,A,Two,Beta,A,312,2.563106796,5893079106628459520,143.0,0.799689320352
2018-08-19,A,Two,Alpha,A,185074,3.1847065619999997,86869534786620194816,2214.0,589.4063822555879
2018-08-19,A,Two,Alpha,A,15112,2.8849084347000002,88066775096602492928,1356.0,43.5967362651864
2018-08-19,A,Two,Alpha,A,6527,2.1908077995,92139786306600894464,186.0,14.299402507336499
2018-08-19,A,Two,Alpha,A,152569,3.0381111899999995,70138531936513400832,2110.0,463.52158614710993
2018-08-19,A,Two,Beta,A,58,16.210526316,82072197186618802176,2216.0,0.9402105263280001
2018-08-19,A,Two,Alpha,A,140760,5.955656328,59554744386631401472,143.0,838.31818472928
2018-08-19,A,Two,Alpha,A,121231,3.418191966,65453168696634703872,2376.0,414.390830230146
2018-08-19,A,Two,Beta,A,5420,1.5005590758,80298117176634802176,2418.0,8.133030190836
2018-08-19,A,Two,Beta,A,131,5.584615385999999,2548326466621689856,2218.0,0.731584615566
2018-08-19,A,Two,Alpha,D,6419,2.2173092055,40012851266626502656,2060.0,14.232907790104498
2018-08-19,A,One,Beta,B,317042,2.7413585472,86528403941086494720,2242.0,869.1257965213824
2018-08-19,A,Two,Alpha,A,67252,4.6110593820000005,5893079106628459520,143.0,310.10296555826403
2018-08-19,A,Two,Beta,D,567,4.0588235280000005,40012851266626502656,2060.0,2.3013529403760002
2018-08-19,A,Two,Beta,A,20701,1.7565866511000001,70138531936513400832,2110.0,36.36310026442111
2018-08-19,A,Three,Alpha,A,105485,5.074127976,2108887106633270016,2262.0,535.24438954836
2018-08-19,A,Two,Beta,A,379,9.944000001,48186961986613903360,140.0,3.7687760003789994
2018-08-19,A,Two,Beta,A,64,7.3333333320000005,24929013856555298816,141.0,0.46933333324800003
2018-08-19,A,Two,Beta,A,83,2.4146341464,56369510466612502528,1544.0,0.2004146341512
2018-08-19,A,Two,Beta,B,665,3.83512158,97131294816545292288,728.0,2.5503558507000004
2018-08-19,A,Two,Beta,A,4,74.25,71493324896517201920,78.0,0.297
2018-08-19,A,Two,Alpha,A,8538,1.499112741,71493324896517201920,78.0,12.799424582658
2018-08-19,A,Two,Alpha,A,35207,4.732543461,57207572576581697536,947.0,166.618657631427
2018-08-19,A,Two,Alpha,B,1605,1.8255292638,97131294816545292288,728.0,2.929974468399
2018-08-19,A,Two,Alpha,A,3360,0.8034265104,56369510466612502528,1544.0,2.699513074944
2018-08-19,A,One,Alpha,A,33815,2.4395161290000003,32402841666634600448,2371.0,82.492237902135
2018-08-19,A,Two,Beta,A,6164,1.665410454,65453168696634703872,2376.0,10.265590038456
2018-08-19,A,Two,Alpha,A,240862,4.043962311,24929013856555298816,141.0,974.0368501520819
2018-08-19,A,Two,Alpha,A,307568,4.725142521,48186961986613903360,140.0,1453.3026348989283
2018-08-19,A,Two,Alpha,B,6373,1.876810935,68218030176548601856,731.0,11.960916088755
2018-08-19,A,Three,Alpha,A,25977,5.485031103000001,7167836216593189888,1191.0,142.48465296263103
2018-08-19,A,One,Alpha,A,95280,4.7693057880000005,88898631746624307200,2336.0,454.41945548064007
2018-08-19,A,Two,Alpha,A,40722,4.384558149,33245020216609898496,143.0,178.547976943578
2018-08-19,A,Two,Beta,A,122,18.0,1633658946634319872,2218.0,2.196
2018-08-19,A,Two,Beta,B,25617472,3.465489012,0,0.0,88777.06773121767
2018-08-19,A,One,Alpha,A,26473,8.602838502,8800245816606390272,355.0,227.74294366344603
2018-08-19,A,Two,Alpha,A,40247,3.3539110139999995,69776947256609898496,143.0,134.98485658045797
2018-08-19,A,Two,Alpha,A,15816,4.933456797,63357777976634302464,2218.0,78.02755270135201
2018-08-19,A,Two,Beta,A,567,0.0,60429363306514096128,333.0,0.0
2018-08-19,A,Two,Alpha,E,26604,3.391329108,85382994016558694400,1256.0,90.22291958923199
2018-08-19,A,Two,Alpha,A,71512,4.227769617,9887303736631410688,143.0,302.336260850904
2018-08-19,A,Two,Beta,A,22641,2.1549940670999996,13029990496521199616,2111.0,48.79122067321109
2018-08-19,A,Two,Alpha,A,189273,3.3516134010000003,72098857066537500672,80.0,634.369923247473
2018-08-19,A,Two,Beta,B,370950,2.5712500374,62064189546546003968,709.0,953.8052013735299
2018-08-19,A,Two,Alpha,A,234430,4.060790406,78392760376625397760,140.0,951.97109487858
2018-08-19,A,Two,Beta,A,2574,4.129854846,78392760376625397760,140.0,10.630246373603999
2018-08-19,A,Two,Alpha,A,164027,4.2161598,2548326466621689856,2218.0,691.5640435146
2018-08-19,A,Two,Alpha,A,603,1.3266331659,70226104386638798848,2457.0,0.7999597990376999
2018-08-19,A,Two,Alpha,B,9429,1.8804627249,20851691626551500800,738.0,17.7308830330821
2018-08-19,A,Two,Beta,A,1036,2.0610526317,38635817016633901056,2316.0,2.1352505264411996
2018-08-19,A,Two,Alpha,A,110054,3.404362908,50432860226600198144,1298.0,374.663755477032
2018-08-19,A,Two,Alpha,A,360,1.7612359550999999,31169638456600600576,1329.0,0.6340449438359999
2018-08-19,A,Two,Alpha,A,43398,2.9015546454,7167836216593189888,1191.0,125.9216685010692
2018-08-19,A,Two,Beta,A,105,9.201923076,7167836216593189888,1191.0,0.96620192298
2018-08-19,A,Two,Alpha,A,96737,1.7203040331000001,80298117176634802176,2418.0,166.41705124999473
2018-08-19,A,Two,Alpha,A,4067,2.0896448970000003,74007808106576396288,1066.0,8.498585796099002
2018-08-19,A,Two,Alpha,A,312,1.3883495145,13029990496521199616,2111.0,0.433165048524
2018-08-19,A,Three,Alpha,A,222627,7.31119257,8800245816606390272,355.0,1627.6688682813901
2018-08-19,A,Two,Beta,A,1646,1.2147239265,56232765496604999680,1403.0,1.999435583019
2018-08-19,A,Two,Alpha,A,3976,2.2882905765,79260713016632098816,2216.0,9.098243332164
2018-08-19,A,Two,Alpha,A,16338,1.3321587537,63358904376615297024,1617.0,21.7648097179506
2018-08-19,A,Two,Alpha,A,6311,0.0,60429363306514096128,333.0,0.0
2018-08-19,A,Two,Alpha,A,1380,1.666910688,57324943426620596224,1752.0,2.30033674944
2018-08-19,A,Two,Alpha,A,25731,1.1023316061,56232765496604999680,1403.0,28.3640945565591
2018-08-19,A,Two,Beta,A,4239,3.553967118,50432860226600198144,1298.0,15.065266613202
2018-08-19,A,One,Alpha,A,124053,4.78268268,2108887106633270016,2262.0,593.30613450204
2018-08-19,A,Two,Beta,A,195,3.932642487,31169638456600600576,1329.0,0.766865284965
2018-08-19,A,Three,Beta,A,7153,3.6625247099999996,7167836216593189888,1191.0,26.198039250629996
2018-08-19,A,Two,Alpha,A,37793,3.765928005,38635817016633901056,2316.0,142.325717092965
2018-08-19,A,Two,Beta,B,2156,2.4298819671,68218030176548601856,731.0,5.2388255210676
2018-08-19,A,Four,Beta,B,11099130,2.3883543459,0,0.0,26508.655371209068
2018-08-20,A,Two,Alpha,A,663,2.8170731705999996,13029990496521199616,2111.0,1.8677195121077999
2018-08-20,A,Two,Alpha,A,117747,3.3090297719999997,65453168696634703872,2376.0,389.62832856368397
2018-08-20,A,One,Alpha,A,21049,6.827695407,8800245816606390272,355.0,143.716160621943
2018-08-20,A,Two,Alpha,A,10376,3.7969434449999997,63357777976634302464,2218.0,39.39708518532
2018-08-20,A,Two,Alpha,A,8833,0.0,60429363306514096128,333.0,0.0
2018-08-20,A,Five,Beta,B,590,1.4675958903,62064189546546003968,709.0,0.8658815752769999
2018-08-20,A,Two,Alpha,A,126796,2.9932133724,70138531936513400832,2110.0,379.5274827668304
2018-08-20,A,Two,Alpha,A,258030,3.593541441,72098857066537500672,80.0,927.2414980212301
2018-08-20,A,Two,Beta,A,66,1.0153846155,72098857066537500672,80.0,0.06701538462299998
2018-08-20,A,Two,Alpha,E,12156,3.457377867,85382994016558694400,1256.0,42.027885351252
2018-08-20,A,Two,Beta,A,567,1.705882353,74007808106576396288,1066.0,0.9672352941510001
2018-08-20,A,Two,Beta,A,33928,2.2496427719999996,13029990496521199616,2111.0,76.32587996841599
2018-08-20,A,Two,Beta,B,1713,3.91096698,20851691626551500800,738.0,6.69948643674
2018-08-20,A,Three,Beta,A,12082,2.8552917573,7167836216593189888,1191.0,34.4976350116986
2018-08-20,A,Two,Alpha,A,13346,1.3161041319,9887303736631410688,143.0,17.5647257443374
2018-08-20,A,Two,Beta,A,3758,1.86240258,80298117176634802176,2418.0,6.9989088956400005
2018-08-20,A,Two,Beta,A,1953,2.0646328851,9887303736631410688,143.0,4.0322280246003
2018-08-20,A,Two,Alpha,A,13308,4.498178505,70226104386638798848,2457.0,59.86175954454
2018-08-20,A,Three,Alpha,A,125395,7.383422067,8800245816606390272,355.0,925.8442100914649
2018-08-20,A,Two,Alpha,A,12319,1.8073296711000002,63358904376615297024,1617.0,22.264494218280902
2018-08-20,A,Two,Alpha,A,24338,3.7929800399999998,38635817016633901056,2316.0,92.31354821352
2018-08-20,A,Two,Alpha,A,4842,1.9687108887,74007808106576396288,1066.0,9.5324981230854
2018-08-20,A,Two,Beta,A,1387,0.6008739984,56232765496604999680,1403.0,0.8334122357807999
2018-08-20,A,Two,Alpha,A,83879,2.0698262472,80298117176634802176,2418.0,173.6149557888888
2018-08-20,A,Five,Alpha,A,226,17.632017857999998,50432860226600198144,1298.0,3.9848360359079993
2018-08-20,A,Two,Beta,C,1759,4.792766934,65065687136565698560,736.0,8.430477036906
2018-08-20,A,Two,Beta,A,42196,4.762243287,57207572576581697536,947.0,200.947617738252
2018-08-20,A,Two,Alpha,B,16351,1.8366174564,20851691626551500800,738.0,30.0305320295964
2018-08-20,A,Five,Alpha,B,174,31.651604640000002,62064189546546003968,709.0,5.5073792073600005
2018-08-20,A,Two,Beta,A,8912,3.7622393460000003,50432860226600198144,1298.0,33.52907705155201
2018-08-20,A,Two,Beta,A,657,2.937,38635817016633901056,2316.0,1.929609
2018-08-20,A,Two,Beta,A,689,4.0645161299999994,76023572576572407808,2047.0,2.8004516135699995
2018-08-20,A,Two,Alpha,A,305,2.7317880795000002,31169638456600600576,1329.0,0.8331953642475001
2018-08-20,A,Two,Beta,B,26571358,3.645532749,0,0.0,96866.75577440314
2018-08-20,A,Two,Alpha,A,93929,3.820175721,28974899256632098816,2216.0,358.825285297809
2018-08-20,A,Two,Alpha,A,142086,3.6319678619999998,50432860226600198144,1298.0,516.0517856401319
2018-08-20,A,Two,Alpha,A,952,1.8547189821,57324943426620596224,1752.0,1.7656924709592001
2018-08-20,A,Two,Alpha,A,13447,1.4227129338,56232765496604999680,1403.0,19.1312208208086
2018-08-20,A,Two,Alpha,B,8413,2.3962159665,68218030176548601856,731.0,20.159364926164496
2018-08-20,A,Two,Alpha,A,127844,4.562664918,57207572576581697536,947.0,583.3093337767921
2018-08-20,A,Two,Alpha,C,2522,2.577092511,65065687136565698560,736.0,6.499427312742
2018-08-20,A,Two,Alpha,A,52296,3.9017729549999998,22335959096623099904,1685.0,204.04711845468
2018-08-20,A,Two,Beta,B,638,5.430379746,97131294816545292288,728.0,3.4645822779479998
2018-08-20,A,Two,Alpha,A,252268,5.6363054009999995,48186961986613903360,140.0,1421.8594908994678
2018-08-20,A,Two,Beta,A,52,110.64705881999998,1633658946634319872,2218.0,5.7536470586399995
2018-08-20,A,Two,Alpha,A,263999,4.578602445,2548326466621689856,2218.0,1208.7464668775547
2018-08-20,A,Two,Beta,B,2792,1.8233693922,68218030176548601856,731.0,5.0908473430224
2018-08-20,A,Two,Beta,A,62,1.0819672131,7167836216593189888,1191.0,0.0670819672122
2018-08-20,A,Two,Beta,A,1198,5.1475548060000005,86869534786620194816,2214.0,6.166770657588001
2018-08-20,A,Two,Alpha,A,5685,2.6791614852,76023572576572407808,2047.0,15.231033043361998
2018-08-20,A,Two,Alpha,B,331579,4.0549137,62064189546546003968,709.0,1344.5242297323002
2018-08-20,A,One,Alpha,A,130816,4.35503895,2108887106633270016,2262.0,569.7087752832
2018-08-20,A,Two,Beta,A,1618,3.110486892,78392760376625397760,140.0,5.032767791256
2018-08-20,A,Two,Alpha,A,67177,5.313281814,59554744386631401472,143.0,356.93033241907796
2018-08-20,A,Two,Beta,A,57,46.55357142,82072197186618802176,2216.0,2.6535535709399998
2018-08-20,A,Two,Alpha,A,2274,1.040870724,79260713016632098816,2216.0,2.366940026376
2018-08-20,A,Two,Alpha,A,263001,8.362184691,82072197186618802176,2216.0,2199.262935917691
2018-08-20,A,Three,Alpha,A,55588,5.749427667,7167836216593189888,1191.0,319.599185153196
2018-08-20,A,Two,Alpha,A,208458,4.2576673739999995,62330521666629500928,143.0,887.5448254492918
